ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Barbara,,,Barbara,0.033216407,3083.727273,662.3232877,0.025348016,3299.058824,670.6639344,0.042505053,11245,658.7452055,0.03376043,2359.631579,562.7890411,Marche,Ancona,Centro
Tavullia,,,Tavullia,0.042964242,3353.224138,4049.879452,0.033649922,3483.734848,3922.743169,0.044769681,6315.105556,4020.578082,0.049512947,2929.015464,3918.167123,Marche,Pesaro e Urbino,Centro
Urbino,,,Urbino,0.038747838,8144.953488,7768.175342,0.030648668,2792.604255,7667.543716,0.04435058,2589.286957,7778.928767,0.041390135,12603.96262,7755.471233,Marche,Pesaro e Urbino,Centro
Castelplanio,,,Castelplanio,0.032796184,4050.859375,1951.446575,0.025342285,3839.469388,1933.527322,0.048906152,4203.652632,1942.49589,0.044784222,5666.493151,1630.038356,Marche,Ancona,Centro
Ancona,,,Ancona,0.051788362,4500.784049,41399.26301,0.046880783,5388.624425,41744.18306,0.066642137,3690.858607,42450.61918,0.067908608,3815.736426,40952.09863,Marche,Ancona,Centro
Cervarese Santa Croce,,,Cervarese Santa Croce,0.037723253,5362.306306,2942.482192,0.024781959,2795.849315,2945.691257,0.03988022,4796.279661,2958.860274,0.029465289,2275.395062,2748.99726,Veneto,Padova,Nord-est
Camerata Picena,,,Camerata Picena,0.040662263,2976.381818,1352.605479,0.036197689,4408.979592,1353.677596,0.042237051,4050.77193,1349.526027,0.055103608,3575.414286,1270.334247,Marche,Ancona,Centro
Sant'Angelo all'Esca,,,Sant'Angelo all'Esca,0.032196176,2694.25,372.7150685,0.016912994,1016.666667,354.7568306,0.027810583,3216.2,359.5753425,0.036802916,6977,353.2328767,Campania,Avellino,Sud
San Vitaliano,,,San Vitaliano,0.055533977,3120.056911,2214.860274,0.054693858,3473.77686,2212.314208,0.054630024,2919.504274,2141.679452,0.06543012,2943.669118,2078.553425,Campania,Napoli,Sud
Arcevia,,,Arcevia,0.028434019,3221.125,2532.178082,0.021533465,10776.43636,2554.163934,0.033625859,4152.776471,2527.816438,0.032567312,3211.556962,2425.745205,Marche,Ancona,Centro
Belvedere Ostrense,,,Belvedere Ostrense,0.038286226,2223.954545,1149.238356,0.024578434,2500.793103,1179.896175,0.04415617,3052.923077,1177.638356,0.051053669,2702.589286,1096.884932,Marche,Ancona,Centro
Camerano,,,Camerano,0.044281305,11093.01829,3703.594521,0.037997468,3640.42069,3816.043716,0.052861889,5307.331707,3878.030137,0.054836896,3197.141463,3738.358904,Marche,Ancona,Centro
